a,b,c,d,e,f,g,h,i
apple,banana,cherry,date,5,10,red,20,7
orange,grape,lemon,mango,8,15,yellow,25,7
strawberry,blueberry,raspberry,blackberry,12,18,purple,30,7
peach,plum,kiwi,pear,9,14,green,22,7
watermelon,cantaloupe,honeydew,pineapple,11,16,orange,27,7
yeet,flamingos,super,energy,56,9,red,18,19
coconut,papaya,passion fruit,lychee,7,13,pink,24,7
avocado,fig,pomegranate,durian,10,17,brown,26,7
grapefruit,tangerine,apricot,nectarine,6,11,white,21,7
lime,kiwifruit,guava,dragon fruit,13,19,black,31,7
cranberry,blackcurrant,gooseberry,elderberry,14,20,gray,32,7
raspberry,strawberry,blueberry,blackberry,15,21,yellow,33,7
cherry,plum,apricot,peach,16,22,orange,34,7
banana,apple,pear,orange,17,23,green,35,7
lemon,lime,grapefruit,orange,18,24,blue,36,7
watermelon,cantaloupe,honeydew,pineapple,19,25,red,37,7
mango,papaya,kiwi,pear,20,26,purple,38,7
coconut,lychee,passion fruit,durian,21,27,pink,39,7
grape,tangerine,apricot,nectarine,22,28,brown,40,7
dragon fruit,guava,kiwi,lychee,23,29,white,41,7
using,thermometer,dive,beach,40,3,blue,17,99
cranberry,blackberry,blueberry,strawberry,24,30,black,42,7
orange,apple,banana,pear,25,31,gray,43,7
raspberry,blackberry,blueberry,strawberry,26,32,yellow,44,7
peach,plum,apricot,cherry,27,33,orange,45,7
lemon,lime,grapefruit,orange,28,34,green,46,7
watermelon,cantaloupe,honeydew,pineapple,29,35,blue,47,7
and,share,the,treasure,15,6,purple,1,100
mango,papaya,kiwi,pear,30,36,red,48,7
coconut,lychee,passion fruit,durian,31,37,purple,49,7
grape,tangerine,apricot,nectarine,32,38,pink,50,7
dragon fruit,guava,kiwi,lychee,33,39,brown,51,7
that,says,align,incentives,42,7,yellow,3,100
cranberry,blackberry,blueberry,strawberry,34,40,white,52,7
orange,apple,banana,pear,35,41,black,53,7
near,room,302,rosita,32,9,red,5,100
raspberry,blackberry,blueberry,strawberry,36,42,gray,54,7
peach,plum,apricot,cherry,37,43,yellow,55,7
lemon,lime,grapefruit,orange,38,44,orange,56,7
watermelon,cantaloupe,honeydew,pineapple,39,45,green,57,7
mango,papaya,kiwi,pear,40,46,blue,58,7
coconut,lychee,passion fruit,durian,41,47,red,59,7
find,my,piñata,envelopes,39,9,orange,2,100
grape,tangerine,apricot,nectarine,42,48,purple,60,7
dragon fruit,guava,kiwi,lychee,43,49,pink,61,7
cranberry,blackberry,blueberry,strawberry,44,50,brown,62,7
behind,black,foam,board,17,6,blue,4,100
orange,apple,banana,pear,45,51,white,63,7
raspberry,blackberry,blueberry,strawberry,46,52,black,64,7
370,townsend,top,floor,24,8,green,6,100
peach,plum,apricot,cherry,47,53,gray,65,7
lemon,lime,grapefruit,orange,48,54,yellow,66,7
watermelon,cantaloupe,honeydew,pineapple,49,55,orange,67,7
winner,dream,baseball,fever,56,2,yellow,1,96
mango,papaya,kiwi,pear,50,56,green,68,7
coconut,lychee,passion fruit,durian,51,57,blue,69,7
hover,telemetry,jargon,cement,78,4,purple,8,54
grape,tangerine,apricot,nectarine,52,58,red,70,7
narrow,hiding,jungle,jewel,32,3,orange,4,36
dragon fruit,guava,kiwi,lychee,53,59,purple,71,7
whenever,james,berlin,bridge,45,17,green,7,81
cranberry,blackberry,blueberry,strawberry,54,60,pink,72,7
